eig
   ;eigenvalue;percentage of variance;cumulative percentage of variance;
;-1.3609;-0.6303;4.1026;4.8887;1.5979;
;0.99;0.9576;-0.4691;0;0.7501;
;0.1038;0.4777;1.3965;0;-2.6258;
;0.3899;-0.6764;-0.467;0;-0.0418;
;1.3675;0.511;0.4615;0;-0.6353;
;0.3717;1.1579;-0.3115;0;-0.0553;
;-0.3917;0.9867;-0.8041;0;0.9977;
;-0.37;1.6564;-0.3357;0;0.5363;
;1.6879;-0.3146;1.0836;0;-1.1874;

V
   ;
;0.7918;2.9211;-0.6674;0;1.5948;
;0.353;-0.1815;-0.5145;0;0.4568;
;-0.9906;-0.8612;1.2433;0;-1.5165;
;0.0262;-0.4925;0.1453;0;-0.2195;
;-0.1834;3.4478;-1.0173;0;1.5362;
;-0.3491;-0.7481;-0.7949;0;0.2357;
;-0.9029;2.7924;0.0018;0;-0.8201;
;-2.504;-1.2494;8.5102;10.583;3.5245;
;3.7711;0.5818;1.0238;0;-0.112;
;-0.8397;0.7624;-1.3311;0;2.5256;
;-0.3802;1.1272;2.8721;0;-5.358;
;-2.504;-1.2494;8.5102;-10.583;3.5245;
;2.5181;-0.7834;1.2859;0;-1.9132;
;0.8228;-3.6329;-2.1401;0;7.7407;
;-0.8389;0.4446;-1.1633;0;0.5077;
;-0.349;-1.5934;-1.1179;0;-0.0794;
;-1.7637;-0.9593;5.5351;-7.4833;3.1245;
;-0.2183;1.8689;0.6445;0;-1.8843;
;1.8216;1.8983;-0.9731;0;1.6546;
;-1.7637;-0.9593;5.5351;7.4833;3.1245;
;3.9705;-0.8736;0.8211;0;0.084;
;-0.2899;-0.1125;-1.0734;0;-0.2177;
;1.8314;-0.4977;0.0624;0;-0.9684;
;-0.8675;0.2357;-0.0296;0;0.4587;
;7.5359;-0.6685;2.3262;0;-0.5363;
;-0.137;0.0122;-0.0423;0;0.0098;
;1.6812;-3.1796;-1.0066;0;3.4371;
;-0.0952;0.18;0.057;0;-0.1946;
;-0.9514;-1.3562;-0.9259;0;-1.3952;
;0.4147;0.5912;0.4036;0;0.6082;

